년/월/일,총수익지수,전일대비,순가격지수,전일대비,시장가격지수,전일대비
"2023/12/28","15,122.22","33.33","10,463.93","18.05","10,351.02","22.81"
"2023/12/27","15,088.89","5.23","10,445.88","2.61","10,328.21","3.58"
"2023/12/26","15,083.66","9.32","10,443.27","5.45","10,324.63","6.38"
"2023/12/22","15,074.34","8.06","10,437.82","1.50","10,318.25","5.52"
"2023/12/21","15,066.28","-0.33","10,436.32","-1.26","10,312.73","-0.23"
"2023/12/20","15,066.61","21.81","10,437.58","14.14","10,312.96","14.93"
"2023/12/19","15,044.81","-1.07","10,423.44","-1.77","10,298.03","-0.73"
"2023/12/18","15,045.87","0.69","10,425.21","-0.52","10,298.76","0.48"
"2023/12/15","15,045.18","-11.14","10,425.73","-10.77","10,298.29","-7.63"
"2023/12/14","15,056.32","91.61","10,436.50","62.70","10,305.91","62.71"
"2023/12/13","14,964.71","-7.20","10,373.81","-6.01","10,243.21","-4.93"
"2023/12/12","14,971.91","14.02","10,379.82","8.73","10,248.14","9.59"
"2023/12/11","14,957.89","-18.63","10,371.09","-14.12","10,238.55","-138.66"
"2023/12/08","14,976.52","21.93","10,385.21","12.41","10,377.21","15.19"
"2023/12/07","14,954.59","-14.36","10,372.79","-11.11","10,362.01","-9.95"
"2023/12/06","14,968.95","10.96","10,383.91","6.70","10,371.96","7.59"
"2023/12/05","14,958.00","21.17","10,377.20","13.90","10,364.37","14.67"
"2023/12/04","14,936.83","23.57","10,363.31","15.58","10,349.70","16.33"
"2023/12/01","14,913.26","4.87","10,347.73","0.41","10,333.37","3.37"
"2023/11/30","14,908.39","-15.61","10,347.32","-12.00","10,330.00","-10.82"
"2023/11/29","14,924.00","40.93","10,359.32","27.81","10,340.81","28.36"
"2023/11/28","14,883.07","19.48","10,331.51","12.70","10,312.45","13.50"
"2023/11/27","14,863.59","-0.64","10,318.81","-1.46","10,298.95","-0.44"
"2023/11/24","14,864.22","-10.47","10,320.26","-10.39","10,299.40","-7.25"
"2023/11/23","14,874.69","13.47","10,330.65","8.47","10,306.65","9.33"
"2023/11/22","14,861.22","-11.09","10,322.18","-8.81","10,297.32","-7.68"
"2023/11/21","14,872.31","8.67","10,330.99","5.10","10,305.00","6.01"
"2023/11/20","14,863.64","14.08","10,325.90","8.91","10,298.99","9.76"
"2023/11/17","14,849.56","4.85","10,316.99","0.39","10,289.23","3.36"
"2023/11/16","14,844.71","20.84","10,316.60","13.66","10,285.87","14.44"
"2023/11/15","14,823.87","52.56","10,302.94","35.99","10,271.43","36.42"
"2023/11/14","14,771.31","10.28","10,266.95","6.23","10,235.02","7.13"
"2023/11/13","14,761.03","-10.06","10,260.72","-8.09","10,227.89","-6.97"
"2023/11/10","14,771.08","-2.79","10,268.80","-4.98","10,234.86","-1.93"
"2023/11/09","14,773.87","19.04","10,273.79","12.40","10,236.79","13.20"
"2023/11/08","14,754.83","9.47","10,261.39","5.66","10,223.59","6.56"
"2023/11/07","14,745.35","0.94","10,255.73","-0.34","10,217.03","0.65"
"2023/11/06","14,744.41","27.66","10,256.07","18.46","10,216.38","19.17"
"2023/11/03","14,716.75","19.01","10,237.61","10.36","10,197.21","13.17"
"2023/11/02","14,697.74","35.78","10,227.25","24.18","10,184.04","24.79"
"2023/11/01","14,661.96","14.20","10,203.07","8.99","10,159.25","9.84"
"2023/10/31","14,647.77","1.06","10,194.09","-0.26","10,149.41","0.74"
"2023/10/30","14,646.71","-4.25","10,194.35","-4.00","10,148.68","-2.95"
"2023/10/27","14,650.96","25.27","10,198.35","14.77","10,151.62","17.51"
"2023/10/26","14,625.69","-28.80","10,183.58","-21.28","10,134.11","-19.95"
"2023/10/25","14,654.48","-15.61","10,204.86","-11.99","10,154.07","-10.81"
"2023/10/24","14,670.09","31.94","10,216.85","21.48","10,164.88","22.13"
"2023/10/23","14,638.15","-14.88","10,195.38","-11.48","10,142.75","-10.31"
"2023/10/20","14,653.02","20.22","10,206.85","11.21","10,153.05","14.01"
"2023/10/19","14,632.80","-17.05","10,195.65","-13.01","10,139.05","-11.81"
"2023/10/18","14,649.85","-15.20","10,208.65","-11.70","10,150.86","-10.53"
"2023/10/17","14,665.05","-9.22","10,220.36","-7.50","10,161.39","-6.39"
"2023/10/16","14,674.27","-8.04","10,227.86","-6.67","10,167.78","-5.57"
"2023/10/13","14,682.31","-8.17","10,234.53","-8.78","10,173.35","-5.66"
"2023/10/12","14,690.49","11.39","10,243.30","7.01","10,179.01","7.89"
"2023/10/11","14,679.10","27.31","10,236.29","18.21","10,171.12","18.92"
"2023/10/10","14,651.79","6.07","10,218.08","3.26","10,152.20","4.20"
"2023/10/06","14,645.72","38.98","10,214.81","23.41","10,148.00","27.01"
"2023/10/05","14,606.74","20.14","10,191.41","13.17","10,120.99","13.96"
"2023/10/04","14,586.60","-111.00","10,178.24","-79.14","10,107.03","-76.91"
"2023/09/27","14,697.60","22.26","10,257.38","8.62","10,183.94","15.42"
"2023/09/26","14,675.34","-6.39","10,248.76","-5.51","10,168.52","-4.43"
"2023/09/25","14,681.74","-5.27","10,254.27","-4.72","10,172.95","-3.65"
"2023/09/22","14,687.01","29.15","10,258.99","17.50","10,176.60","20.20"
"2023/09/21","14,657.86","-16.36","10,241.49","-12.53","10,156.41","-11.34"
"2023/09/20","14,674.22","2.70","10,254.02","0.89","10,167.75","1.87"
"2023/09/19","14,671.53","6.24","10,253.13","3.38","10,165.88","4.32"
"2023/09/18","14,665.29","-17.01","10,249.74","-12.98","10,161.56","-11.79"
"2023/09/15","14,682.30","0.21","10,262.72","-2.87","10,173.34","0.14"
"2023/09/14","14,682.10","6.48","10,265.59","3.56","10,173.20","4.49"
"2023/09/13","14,675.62","7.82","10,262.04","4.50","10,168.71","5.42"
"2023/09/12","14,667.80","-0.96","10,257.54","-1.68","10,163.29","-0.66"
"2023/09/11","14,668.76","-24.75","10,259.22","-18.52","10,163.95","-72.53"
"2023/09/08","14,693.50","22.71","10,277.73","13.06","10,236.48","15.82"
"2023/09/07","14,670.79","-22.01","10,264.67","-16.58","10,220.66","-15.33"
"2023/09/06","14,692.80","-5.43","10,281.25","-4.84","10,236.00","-3.78"
"2023/09/05","14,698.23","-11.55","10,286.09","-9.17","10,239.78","-8.04"
"2023/09/04","14,709.77","-19.73","10,295.26","-14.97","10,247.82","-13.75"
"2023/09/01","14,729.51","15.77","10,310.23","8.16","10,261.57","10.99"
"2023/08/31","14,713.73","13.18","10,302.07","8.33","10,250.58","9.19"
"2023/08/30","14,700.55","-0.13","10,293.74","-1.09","10,241.39","-0.09"
"2023/08/29","14,700.68","6.55","10,294.83","3.63","10,241.48","4.56"
"2023/08/28","14,694.13","20.03","10,291.20","13.17","10,236.92","13.95"
"2023/08/25","14,674.10","-11.55","10,278.03","-11.18","10,222.97","-8.05"
"2023/08/24","14,685.65","6.56","10,289.21","3.64","10,231.01","4.57"
"2023/08/23","14,679.09","15.66","10,285.57","10.08","10,226.44","10.91"
"2023/08/22","14,663.43","-0.44","10,275.49","-1.31","10,215.53","-0.30"
"2023/08/21","14,663.86","-22.00","10,276.80","-16.57","10,215.84","-15.33"
"2023/08/18","14,685.86","26.63","10,293.37","15.84","10,231.16","18.55"
"2023/08/17","14,659.24","-31.11","10,277.53","-23.02","10,212.61","-21.68"
"2023/08/16","14,690.35","17.77","10,300.55","11.57","10,234.29","12.38"
"2023/08/14","14,672.58","-18.51","10,288.98","-15.10","10,221.91","-12.89"
"2023/08/11","14,691.09","-1.34","10,304.08","-3.95","10,234.80","-0.93"
"2023/08/10","14,692.43","-4.71","10,308.03","-4.34","10,235.74","-3.28"
"2023/08/09","14,697.15","-10.92","10,312.37","-8.73","10,239.02","-7.61"
"2023/08/08","14,708.06","22.42","10,321.10","14.86","10,246.63","15.62"
"2023/08/07","14,685.64","20.39","10,306.24","13.43","10,231.01","14.20"
"2023/08/04","14,665.26","-1.50","10,292.81","-4.07","10,216.81","-1.04"
"2023/08/03","14,666.76","-17.77","10,296.88","-13.58","10,217.85","-12.38"
"2023/08/02","14,684.53","-10.44","10,310.46","-8.39","10,230.23","-7.27"
"2023/08/01","14,694.97","14.91","10,318.84","9.55","10,237.50","10.39"
"2023/07/31","14,680.06","-18.59","10,309.30","-14.16","10,227.12","-12.95"
"2023/07/28","14,698.65","-16.78","10,323.45","-14.88","10,240.07","-11.69"
"2023/07/27","14,715.43","13.17","10,338.33","8.32","10,251.76","9.18"
"2023/07/26","14,702.26","11.08","10,330.01","6.84","10,242.58","7.72"
"2023/07/25","14,691.18","-6.76","10,323.18","-5.79","10,234.87","-4.71"
"2023/07/24","14,697.94","-5.61","10,328.96","-4.97","10,239.58","-3.91"
"2023/07/21","14,703.55","-2.91","10,333.93","-5.07","10,243.48","-2.03"
"2023/07/20","14,706.46","-16.25","10,339.00","-12.50","10,245.51","-11.32"
"2023/07/19","14,722.71","28.96","10,351.50","19.50","10,256.83","20.18"
"2023/07/18","14,693.74","5.94","10,332.00","3.20","10,236.65","4.14"
"2023/07/17","14,687.81","4.72","10,328.80","2.34","10,232.52","3.29"
"2023/07/14","14,683.09","-0.93","10,326.47","-3.67","10,229.23","-0.65"
"2023/07/13","14,684.02","45.57","10,330.13","31.25","10,229.88","31.75"
"2023/07/12","14,638.45","1.58","10,298.88","0.11","10,198.13","1.10"
"2023/07/11","14,636.88","38.15","10,298.77","26.00","10,197.03","26.58"
"2023/07/10","14,598.73","-27.64","10,272.77","-20.56","10,170.46","-19.25"
"2023/07/07","14,626.37","-19.70","10,293.33","-16.95","10,189.71","-13.72"
"2023/07/06","14,646.07","-23.25","10,310.28","-17.45","10,203.44","-16.19"
"2023/07/05","14,669.31","-1.99","10,327.74","-2.41","10,219.63","-1.39"
"2023/07/04","14,671.30","-5.88","10,330.15","-5.16","10,221.02","-4.10"
"2023/07/03","14,677.19","27.14","10,335.31","18.21","10,225.12","18.91"
"2023/06/30","14,650.04","-19.89","10,317.10","-17.09","10,206.21","-13.86"
"2023/06/29","14,669.94","-10.39","10,334.19","-8.35","10,220.07","-7.24"
"2023/06/28","14,680.32","-1.54","10,342.54","-2.09","10,227.30","-1.07"
"2023/06/27","14,681.86","8.52","10,344.63","5.03","10,228.37","5.93"
"2023/06/26","14,673.34","17.07","10,339.60","11.08","10,222.44","11.89"
"2023/06/23","14,656.27","-0.54","10,328.53","-3.39","10,210.55","-0.38"
"2023/06/22","14,656.82","-10.56","10,331.92","-8.48","10,210.93","-7.36"
"2023/06/21","14,667.38","7.21","10,340.39","4.10","10,218.29","5.02"
"2023/06/20","14,660.17","-1.23","10,336.29","-1.87","10,213.26","-0.85"
"2023/06/19","14,661.40","2.85","10,338.16","1.02","10,214.12","1.98"
"2023/06/16","14,658.55","16.29","10,337.14","8.55","10,212.13","11.35"
"2023/06/15","14,642.26","-30.36","10,328.59","-22.48","10,200.78","-21.15"
"2023/06/14","14,672.62","-17.48","10,351.06","-13.36","10,221.93","-12.18"
"2023/06/13","14,690.10","-0.14","10,364.42","-1.09","10,234.11","-0.10"
"2023/06/12","14,690.24","0.57","10,365.51","-0.58","10,234.21","0.40"
"2023/06/09","14,689.66","16.83","10,366.10","9.78","10,233.81","-113.82"
"2023/06/08","14,672.84","-28.08","10,356.32","-21.81","10,347.63","-19.80"
"2023/06/07","14,700.91","8.16","10,378.13","4.85","10,367.43","5.76"
"2023/06/05","14,692.75","-20.89","10,373.28","-16.95","10,361.67","-14.73"
"2023/06/02","14,713.64","23.32","10,390.23","13.72","10,376.40","16.44"
"2023/06/01","14,690.32","-10.27","10,376.52","-8.35","10,359.96","-7.24"
"2023/05/31","14,700.59","51.03","10,384.87","35.56","10,367.20","35.99"
"2023/05/30","14,649.56","-12.30","10,349.31","-9.80","10,331.21","-8.67"
"2023/05/26","14,661.86","-14.15","10,359.11","-14.12","10,339.88","-9.98"
"2023/05/25","14,676.01","-36.97","10,373.23","-27.48","10,349.87","-26.07"
"2023/05/24","14,712.98","-1.73","10,400.71","-2.23","10,375.94","-1.22"
"2023/05/23","14,714.71","-29.23","10,402.94","-21.94","10,377.15","-20.62"
"2023/05/22","14,743.94","11.93","10,424.88","7.55","10,397.77","8.42"
"2023/05/19","14,732.01","-9.13","10,417.33","-9.53","10,389.36","-6.44"
"2023/05/18","14,741.14","-13.17","10,426.85","-10.43","10,395.80","-9.29"
"2023/05/17","14,754.31","-17.66","10,437.28","-13.64","10,405.08","-12.45"
"2023/05/16","14,771.97","20.30","10,450.93","13.54","10,417.54","14.31"
"2023/05/15","14,751.67","-19.63","10,437.39","-15.05","10,403.22","-13.84"
"2023/05/12","14,771.30","2.69","10,452.44","-1.06","10,417.06","1.90"
"2023/05/11","14,768.60","22.31","10,453.50","14.99","10,415.16","15.74"
"2023/05/10","14,746.29","-2.79","10,438.51","-2.99","10,399.43","-1.97"
"2023/05/09","14,749.08","0.35","10,441.50","-0.75","10,401.40","0.24"
"2023/05/08","14,748.73","-16.37","10,442.25","-12.72","10,401.15","-11.55"
"2023/05/04","14,765.11","30.46","10,454.97","17.84","10,412.70","21.48"
"2023/05/03","14,734.65","24.61","10,437.14","16.64","10,391.22","17.36"
"2023/05/02","14,710.04","-7.41","10,420.50","-6.30","10,373.86","-5.23"
"2023/04/28","14,717.45","-6.02","10,426.80","-8.29","10,379.09","-4.25"
"2023/04/27","14,723.47","-9.07","10,435.10","-7.49","10,383.33","-6.40"
"2023/04/26","14,732.54","8.14","10,442.59","4.83","10,389.73","5.74"
"2023/04/25","14,724.40","-12.03","10,437.76","-9.61","10,383.99","-8.48"
"2023/04/24","14,736.43","4.60","10,447.37","2.30","10,392.47","3.25"
"2023/04/21","14,731.82","41.71","10,445.07","26.90","10,389.23","29.42"
"2023/04/20","14,690.11","5.37","10,418.17","2.85","10,359.81","3.79"
"2023/04/19","14,684.74","-22.14","10,415.32","-16.86","10,356.02","-15.61"
"2023/04/18","14,706.88","7.00","10,432.18","4.02","10,371.64","4.94"
"2023/04/17","14,699.88","-37.14","10,428.16","-27.60","10,366.70","-26.19"
"2023/04/14","14,737.02","4.36","10,455.76","0.14","10,392.89","3.08"
"2023/04/13","14,732.65","15.05","10,455.62","9.79","10,389.81","10.62"
"2023/04/12","14,717.60","-14.79","10,445.83","-11.59","10,379.19","-10.43"
"2023/04/11","14,732.39","-12.38","10,457.42","-9.86","10,389.62","-8.73"
"2023/04/10","14,744.77","28.46","10,467.28","19.39","10,398.36","20.07"
"2023/04/07","14,716.31","-3.58","10,447.89","-5.55","10,378.28","-2.52"
"2023/04/06","14,719.89","21.94","10,453.44","14.72","10,380.81","15.47"
"2023/04/05","14,697.95","2.32","10,438.72","0.66","10,365.33","1.63"
"2023/04/04","14,695.63","30.62","10,438.05","20.94","10,363.70","21.59"
"2023/04/03","14,665.01","-12.63","10,417.12","-10.04","10,342.11","-8.91"
"2023/03/31","14,677.65","-18.38","10,427.16","-16.15","10,351.02","-12.96"
"2023/03/30","14,696.03","-2.81","10,443.32","-3.01","10,363.98","-1.98"
"2023/03/29","14,698.83","12.45","10,446.32","7.92","10,365.96","8.78"
"2023/03/28","14,686.38","-9.95","10,438.40","-8.12","10,357.18","-7.02"
"2023/03/27","14,696.33","-21.20","10,446.52","-16.18","10,364.20","-14.95"
"2023/03/24","14,717.53","18.71","10,462.70","10.41","10,379.15","13.19"
"2023/03/23","14,698.82","19.16","10,452.29","12.73","10,365.95","13.51"
"2023/03/22","14,679.66","17.42","10,439.56","11.49","10,352.44","12.29"
"2023/03/21","14,662.24","-17.67","10,428.07","-13.66","10,340.15","-12.46"
"2023/03/20","14,679.91","48.54","10,441.74","33.92","10,352.62","34.23"
"2023/03/17","14,631.37","7.02","10,407.82","2.67","10,318.39","4.95"
"2023/03/16","14,624.36","21.66","10,405.15","14.70","10,313.44","15.27"
"2023/03/15","14,602.70","-16.80","10,390.45","-12.79","10,298.17","-11.85"
"2023/03/14","14,619.50","14.34","10,403.25","9.47","10,310.01","10.11"
"2023/03/13","14,605.16","91.79","10,393.78","64.83","10,299.90","64.73"
"2023/03/10","14,513.38","57.13","10,328.95","38.71","10,235.17","-13.77"
"2023/03/09","14,456.25","11.55","10,290.24","7.51","10,248.94","8.19"
"2023/03/08","14,444.70","-46.13","10,282.73","-33.94","10,240.75","-32.71"
"2023/03/07","14,490.84","22.09","10,316.67","15.09","10,273.46","15.66"
"2023/03/06","14,468.75","16.51","10,301.59","11.08","10,257.80","11.71"
"2023/03/03","14,452.24","35.15","10,290.51","22.90","10,246.10","24.92"
"2023/03/02","14,417.09","-11.90","10,267.61","-9.34","10,221.18","-8.44"
"2023/02/28","14,428.99","-49.99","10,276.95","-37.50","10,229.61","-35.44"
"2023/02/27","14,478.98","-52.82","10,314.45","-38.75","10,265.05","-37.45"
"2023/02/24","14,531.80","25.98","10,353.20","16.31","10,302.50","18.42"
"2023/02/23","14,505.81","11.72","10,336.89","7.64","10,284.08","8.31"
"2023/02/22","14,494.09","-7.29","10,329.25","-6.03","10,275.77","-5.17"
"2023/02/21","14,501.38","25.28","10,335.27","17.38","10,280.94","17.92"
"2023/02/20","14,476.11","-19.41","10,317.90","-14.74","10,263.02","-13.76"
"2023/02/17","14,495.52","-45.87","10,332.64","-35.33","10,276.78","-32.52"
"2023/02/16","14,541.39","-0.56","10,367.97","-1.19","10,309.30","-0.40"
"2023/02/15","14,541.95","-35.12","10,369.16","-26.03","10,309.70","-24.90"
"2023/02/14","14,577.08","12.29","10,395.19","8.05","10,334.60","8.72"
"2023/02/13","14,564.78","-20.49","10,387.14","-15.51","10,325.89","-14.53"
"2023/02/10","14,585.28","6.98","10,402.65","2.65","10,340.42","4.95"
"2023/02/09","14,578.30","-30.79","10,400.00","-22.92","10,335.47","-21.83"
"2023/02/08","14,609.09","-6.18","10,422.92","-5.23","10,357.30","-4.38"
"2023/02/07","14,615.27","2.79","10,428.15","1.22","10,361.68","1.98"
"2023/02/06","14,612.48","-69.73","10,426.93","-50.90","10,359.71","-49.44"
"2023/02/03","14,682.21","36.55","10,477.83","23.91","10,409.14","25.91"
"2023/02/02","14,645.66","25.87","10,453.92","17.80","10,383.23","18.34"
"2023/02/01","14,619.79","18.59","10,436.12","12.57","10,364.89","13.18"
"2023/01/31","14,601.20","-19.32","10,423.55","-14.67","10,351.71","-13.70"
"2023/01/30","14,620.52","15.45","10,438.22","10.31","10,365.41","10.95"
"2023/01/27","14,605.08","-12.22","10,427.91","-11.14","10,354.45","-8.66"
"2023/01/26","14,617.30","2.38","10,439.05","0.93","10,363.12","1.69"
"2023/01/25","14,614.91","17.97","10,438.13","12.12","10,361.43","12.74"
"2023/01/20","14,596.94","-13.75","10,426.00","-13.82","10,348.69","-9.75"
"2023/01/19","14,610.69","41.34","10,439.82","28.92","10,358.44","29.31"
"2023/01/18","14,569.36","40.92","10,410.90","28.62","10,329.13","29.01"
"2023/01/17","14,528.43","-21.99","10,382.28","-16.59","10,300.12","-15.59"
"2023/01/16","14,550.42","-27.90","10,398.87","-20.84","10,315.71","-19.78"
"2023/01/13","14,578.32","43.41","10,419.70","28.83","10,335.48","30.77"
"2023/01/12","14,534.91","-4.84","10,390.87","-4.26","10,304.71","-3.43"
"2023/01/11","14,539.75","46.82","10,395.14","32.86","10,308.14","33.20"
"2023/01/10","14,492.93","1.40","10,362.28","0.22","10,274.95","0.99"
"2023/01/09","14,491.53","59.36","10,362.06","41.87","10,273.95","42.09"
"2023/01/06","14,432.17","-2.62","10,320.19","-4.24","10,231.87","-1.86"
"2023/01/05","14,434.79","-6.65","10,324.43","-5.56","10,233.72","-4.71"
"2023/01/04","14,441.43","25.81","10,330.00","17.76","10,238.44","18.30"
"2023/01/03","14,415.63","42.90","10,312.24","30.04","10,220.14","30.42"
"2023/01/02","14,372.72","-18.93","10,282.19","-14.39","10,189.72","-13.42"